Individual	Sample	Timepoint	Filename_R1	Filename_R2
XUUQ	XUUQ-D21_S48_L004	D21	XUUQ-D21_S48_L004_R1_001.fastq.gz	XUUQ-D21_S48_L004_R2_001.fastq.gz
XUUQ	XUUQ-D7_S41_L004	D7	XUUQ-D7_S41_L004_R1_001.fastq.gz	XUUQ-D7_S41_L004_R2_001.fastq.gz
XUUQ	XUUQ-D8_S40_L004	D8	XUUQ-D8_S40_L004_R1_001.fastq.gz	XUUQ-D8_S40_L004_R2_001.fastq.gz
XUUQ	XUUQ-D9_S39_L004	D9	XUUQ-D9_S39_L004_R1_001.fastq.gz	XUUQ-D9_S39_L004_R2_001.fastq.gz
XZQK	XZQK-D-42_S35_L004	D-42	XZQK-D-42_S35_L004_R1_001.fastq.gz	XZQK-D-42_S35_L004_R2_001.fastq.gz
XZQK	XZQK-D-49_S34_L004	D-49	XZQK-D-49_S34_L004_R1_001.fastq.gz	XZQK-D-49_S34_L004_R2_001.fastq.gz
XZQK	XZQK-D-53_S33_L004	D-53	XZQK-D-53_S33_L004_R1_001.fastq.gz	XZQK-D-53_S33_L004_R2_001.fastq.gz
XZQK	XZQK-D-54_S32_L004	D-54	XZQK-D-54_S32_L004_R1_001.fastq.gz	XZQK-D-54_S32_L004_R2_001.fastq.gz
XZQK	XZQK-D-55_S31_L004	D-55	XZQK-D-55_S31_L004_R1_001.fastq.gz	XZQK-D-55_S31_L004_R2_001.fastq.gz
XZQK	XZQK-D-56_S30_L004	D-56	XZQK-D-56_S30_L004_R1_001.fastq.gz	XZQK-D-56_S30_L004_R2_001.fastq.gz
XZQK	XZQK-D10_S38_L004	D10	XZQK-D10_S38_L004_R1_001.fastq.gz	XZQK-D10_S38_L004_R2_001.fastq.gz
XZQK	XZQK-D14_S37_L004	D14	XZQK-D14_S37_L004_R1_001.fastq.gz	XZQK-D14_S37_L004_R2_001.fastq.gz
XZQK	XZQK-D21_S36_L004	D21	XZQK-D21_S36_L004_R1_001.fastq.gz	XZQK-D21_S36_L004_R2_001.fastq.gz
XZQK	XZQK-D7_S29_L004	D7	XZQK-D7_S29_L004_R1_001.fastq.gz	XZQK-D7_S29_L004_R2_001.fastq.gz
XZQK	XZQK-D8_S28_L004	D8	XZQK-D8_S28_L004_R1_001.fastq.gz	XZQK-D8_S28_L004_R2_001.fastq.gz
XZQK	XZQK-D9_S27_L004	D9	XZQK-D9_S27_L004_R1_001.fastq.gz	XZQK-D9_S27_L004_R2_001.fastq.gz
YEEM	YEEM-D-42_S9_L004	D-42	YEEM-D-42_S9_L004_R1_001.fastq.gz	YEEM-D-42_S9_L004_R2_001.fastq.gz
YEEM	YEEM-D-49_S8_L004	D-49	YEEM-D-49_S8_L004_R1_001.fastq.gz	YEEM-D-49_S8_L004_R2_001.fastq.gz
YEEM	YEEM-D-53_S7_L004	D-53	YEEM-D-53_S7_L004_R1_001.fastq.gz	YEEM-D-53_S7_L004_R2_001.fastq.gz
YEEM	YEEM-D-54_S6_L004	D-54	YEEM-D-54_S6_L004_R1_001.fastq.gz	YEEM-D-54_S6_L004_R2_001.fastq.gz
YEEM	YEEM-D-55_S5_L004	D-55	YEEM-D-55_S5_L004_R1_001.fastq.gz	YEEM-D-55_S5_L004_R2_001.fastq.gz
YEEM	YEEM-D-56_S4_L004	D-56	YEEM-D-56_S4_L004_R1_001.fastq.gz	YEEM-D-56_S4_L004_R2_001.fastq.gz
YEEM	YEEM-D10_S12_L004	D10	YEEM-D10_S12_L004_R1_001.fastq.gz	YEEM-D10_S12_L004_R2_001.fastq.gz
YEEM	YEEM-D14_S11_L004	D14	YEEM-D14_S11_L004_R1_001.fastq.gz	YEEM-D14_S11_L004_R2_001.fastq.gz
YEEM	YEEM-D21_S10_L004	D21	YEEM-D21_S10_L004_R1_001.fastq.gz	YEEM-D21_S10_L004_R2_001.fastq.gz
YEEM	YEEM-D7_S3_L004	D7	YEEM-D7_S3_L004_R1_001.fastq.gz	YEEM-D7_S3_L004_R2_001.fastq.gz
YEEM	YEEM-D8_S2_L004	D8	YEEM-D8_S2_L004_R1_001.fastq.gz	YEEM-D8_S2_L004_R2_001.fastq.gz
YEEM	YEEM-D9_S1_L004	D9	YEEM-D9_S1_L004_R1_001.fastq.gz	YEEM-D9_S1_L004_R2_001.fastq.gz
